Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0363-QJVFX,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,0,32,Offer C,Yes,27.69,Yes,Yes,Fiber Optic,73,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,3432.9,0,0,886.08,4318.98,Churned,Attitude,Attitude of service provider
0363-SVHYR,Male,28,Yes,3,Paramount,90723,33.897122,-118.164432,10,71,Offer A,Yes,10.11,Yes,Yes,DSL,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.85,6263.8,0,0,717.81,6981.61,Stayed,,
0365-BZUWY,Male,58,Yes,0,San Juan Capistrano,92675,33.521447,-117.602555,2,17,Offer D,Yes,10.11,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.55,1742.5,0,0,171.87,1914.37,Stayed,,
0365-GXEZS,Male,55,Yes,0,Copperopolis,95228,37.943954,-120.67108,6,18,Offer D,Yes,31.79,No,Yes,Fiber Optic,19,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.2,1468.75,0,0,572.22,2040.97,Stayed,,
0365-TRTPY,Female,52,No,0,Covina,91724,34.08111,-117.853935,0,37,None,Yes,11.73,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,91.2,3382.3,0,0,434.01,3816.31,Stayed,,
0366-NQSHS,Male,42,No,0,Colusa,95932,39.273096,-122.050763,0,2,None,Yes,44.34,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.35,46.35,0,0,88.68,135.03,Joined,,
0369-ZGOVK,Female,56,Yes,2,Cypress,90630,33.818477,-118.038307,6,28,Offer C,Yes,12.94,No,Yes,Fiber Optic,24,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.4,1992.2,0,0,362.32,2354.52,Stayed,,
0373-AIVNJ,Male,34,No,0,Sacramento,95814,38.584505,-121.491956,0,9,Offer E,No,,,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,39.55,373,0,0,0,373,Stayed,,
0374-AACSZ,Female,63,No,0,Lancaster,93534,34.727529,-118.153098,0,1,Offer E,Yes,38.33,No,Yes,DSL,24,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,50.15,50.15,0,50,38.33,138.48,Joined,,
0374-FIUCA,Male,59,Yes,0,Orange,92867,33.81859,-117.821288,1,65,None,Yes,23.46,No,No,,,,,,,,,,,Two Year,Yes,Credit Card,20.4,1414.45,0,0,1524.9,2939.35,Stayed,,
0374-IOEGQ,Female,62,No,0,Gonzales,93926,36.52588,-121.396719,0,3,None,Yes,15.59,No,Yes,Cable,27,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.6,122.7,0,0,46.77,169.47,Joined,,
0375-HVGXO,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,0,1,Offer E,No,,,Yes,DSL,8,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0,0,0,34.7,Churned,Other,Don't know
0376-OIWME,Male,24,Yes,0,San Ysidro,92173,32.555828,-117.040073,3,36,Offer C,Yes,41.33,No,Yes,Fiber Optic,41,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.6,3366.05,16.56,0,1487.88,4837.37,Stayed,,
0376-YMCJC,Male,21,No,0,Novato,94949,38.067204,-122.524004,0,23,None,Yes,38.69,Yes,Yes,Cable,69,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,1943.2,4.73,0,889.87,2828.34,Churned,Competitor,Competitor offered higher download speeds
0377-JBKKT,Male,21,Yes,3,Gilroy,95020,37.03889,-121.528955,9,22,Offer D,Yes,42.58,No,Yes,DSL,82,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,57.95,1271.8,0,0,936.76,2208.56,Stayed,,
0378-CJKPV,Female,56,Yes,0,Oak Park,91377,34.19225,-118.776874,1,72,None,Yes,4.56,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,112.1,7965.95,18.88,0,328.32,8275.39,Stayed,,
0378-NHQXU,Female,31,Yes,0,South San Francisco,94080,37.654436,-122.426468,7,17,None,Yes,17.91,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,88.25,1460.65,0,0,304.47,1765.12,Churned,Other,Deceased
0378-TOVMS,Female,20,No,0,Vernalis,95385,37.609095,-121.263381,0,3,None,Yes,10.6,No,Yes,Fiber Optic,73,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.8,272.2,0,0,31.8,304,Churned,Competitor,Competitor had better devices
0378-XSZPU,Male,31,Yes,0,San Jose,95117,37.311088,-121.961786,1,58,Offer B,Yes,17.22,No,Yes,Cable,21,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,60.3,3563.8,0,0,998.76,4562.56,Churned,Dissatisfaction,Network reliability
0379-DJQHR,Male,60,Yes,0,Sunnyvale,94089,37.421633,-122.009613,1,67,None,Yes,45.25,No,Yes,DSL,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,81.35,5398.6,0,0,3031.75,8430.35,Stayed,,
0380-NEAVX,Male,72,No,0,Newport Beach,92660,33.634626,-117.874882,0,34,None,Yes,35,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,99.85,3343.15,0,0,1190,4533.15,Stayed,,
0380-ZCSBI,Male,56,No,0,San Francisco,94133,37.802071,-122.411004,0,10,None,Yes,4.42,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20,198.7,0,0,44.2,242.9,Stayed,,
0383-CLDDA,Female,42,No,0,Stanford,94305,37.424342,-122.165641,0,69,Offer A,Yes,18.47,Yes,Yes,DSL,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0,0,1274.43,7171.83,Stayed,,
0384-LPITE,Male,38,No,0,Los Angeles,90041,34.137412,-118.207607,0,40,None,No,,,Yes,Cable,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,62.05,2511.55,0,0,0,2511.55,Stayed,,
0384-RVBPI,Male,64,No,0,Turlock,95380,37.474396,-120.875917,0,20,Offer D,Yes,12.6,No,Yes,DSL,29,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,64.4,1398.6,0,0,252,1650.6,Stayed,,
0386-CWRGM,Female,61,Yes,1,Beverly Hills,90210,34.099891,-118.414338,9,46,None,Yes,47.5,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.4,967.85,0,0,2185,3152.85,Stayed,,
0388-EOPEX,Female,28,Yes,0,Riverside,92503,33.890046,-117.455583,1,2,None,Yes,9.79,No,Yes,Fiber Optic,41,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,139.4,0,0,19.58,158.98,Churned,Attitude,Attitude of support person
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0,0,15.28,85.73,Churned,Other,Don't know
0392-BZIUW,Female,44,Yes,0,Fresno,93710,36.822715,-119.761826,7,72,None,Yes,6.58,Yes,Yes,Fiber Optic,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,105,7589.8,0,0,473.76,8063.56,Stayed,,
0394-YONDK,Male,28,Yes,3,Escondido,92025,33.081478,-117.033814,0,70,None,Yes,1.22,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.15,1790.15,0,0,85.4,1875.55,Stayed,,
0396-HUJBP,Female,34,No,0,Gardena,90247,33.890853,-118.297967,0,2,None,Yes,49.91,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.3,44.4,0,0,99.82,144.22,Joined,,
0396-UKGAI,Male,25,No,3,Encinitas,92024,33.054579,-117.25665,0,23,Offer D,Yes,1.58,No,Yes,DSL,47,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.3,1284.2,0,0,36.34,1320.54,Stayed,,
0396-YCHWO,Male,58,Yes,0,Sacramento,95829,38.486502,-121.334051,4,36,Offer C,Yes,40.58,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4,3474.2,0,0,1460.88,4935.08,Stayed,,
0397-GZBBC,Male,70,Yes,0,South Dos Palos,93665,36.959731,-120.653519,0,59,None,Yes,10.78,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,8.13,0,636.02,6202.64,Churned,Price,Price too high
0397-ZXWQF,Male,24,No,0,Orick,95555,41.336354,-124.044354,0,67,Offer A,Yes,47.31,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.5,1430.95,0,0,3169.77,4600.72,Stayed,,
0401-WDBXM,Male,22,Yes,3,San Jose,95118,37.255479,-121.889838,4,72,None,Yes,8.33,Yes,Yes,Fiber Optic,59,Yes,No,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,105.55,7542.25,0,10,599.76,8152.01,Stayed,,
0402-CQAJN,Female,22,No,0,El Monte,91732,34.074492,-118.01462,0,37,None,Yes,24.04,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.9,3545.35,0,0,889.48,4434.83,Churned,Dissatisfaction,Lack of self-service on Website
0402-OAMEN,Female,36,Yes,1,Spreckels,93962,36.624641,-121.647195,4,72,Offer A,Yes,20.56,Yes,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,24.45,1709.1,0,0,1480.32,3189.42,Stayed,,
0404-AHASP,Male,23,Yes,0,Beverly Hills,90212,34.062095,-118.401508,10,72,Offer A,Yes,27.97,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.7,1421.9,0,0,2013.84,3435.74,Stayed,,
0404-SWRVG,Male,21,No,2,La Habra,90631,33.940619,-117.9513,0,3,Offer E,Yes,14.6,Yes,Yes,Fiber Optic,71,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,229.55,8.74,0,43.8,264.61,Churned,Dissatisfaction,Product dissatisfaction
0406-BPDVR,Female,75,Yes,0,Visalia,93277,36.303793,-119.375646,0,54,Offer B,Yes,33.49,Yes,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.5,5373.1,0,0,1808.46,7181.56,Churned,Price,Lack of affordable download/upload speed
0407-BDJKB,Male,59,Yes,0,San Francisco,94114,37.758085,-122.434801,1,60,None,Yes,35.22,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,5742.9,0,0,2113.2,7856.1,Churned,Dissatisfaction,Service dissatisfaction
0409-WTMPL,Female,35,Yes,0,Whittier,90602,33.972119,-118.020188,8,58,Offer B,Yes,37.95,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,110.65,6526.65,0,0,2201.1,8727.75,Stayed,,
0410-IPFTY,Female,64,Yes,0,Long Beach,90822,33.778436,-118.118648,1,31,Offer C,Yes,12.03,No,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.85,2674.15,11.37,0,372.93,3035.71,Stayed,,
0411-EZJZE,Female,62,No,0,Stockton,95215,37.946282,-121.139499,0,3,None,Yes,20.1,Yes,Yes,DSL,29,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,60.25,170.5,0,70,60.3,300.8,Joined,,
0412-UCCNP,Male,20,No,0,Essex,92332,34.9436,-115.287901,0,55,None,Yes,12.28,No,Yes,DSL,48,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,59.2,3175.85,0,0,675.4,3851.25,Stayed,,
0415-MOSGF,Female,58,No,0,Los Gatos,95030,37.222842,-121.988727,0,1,Offer E,Yes,26.53,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,0,0,26.53,70.93,Churned,Attitude,Attitude of support person
0419-YAAPX,Male,44,Yes,0,Grass Valley,95949,39.099204,-121.137962,1,49,Offer B,Yes,14.21,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.3,4297.95,0,0,696.29,4994.24,Stayed,,
0420-BWTPW,Male,40,No,0,San Diego,92117,32.825086,-117.199424,0,8,None,No,,,Yes,DSL,16,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,25.5,215.2,0,0,0,215.2,Churned,Attitude,Attitude of support person
0420-HLGXF,Female,72,No,0,Visalia,93291,36.391777,-119.372842,0,39,None,Yes,10.03,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,99.75,4036,0,0,391.17,4427.17,Stayed,,
0420-TXVSG,Male,43,Yes,0,San Jose,95112,37.343827,-121.883119,9,66,Offer A,Yes,37.71,Yes,Yes,DSL,15,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,66.1,4428.45,0,0,2488.86,6917.31,Stayed,,
0422-OHQHQ,Female,23,Yes,0,Fresno,93722,36.78979,-119.929894,7,15,None,Yes,34.63,No,No,,,,,,,,,,,One Year,No,Credit Card,20.55,295.95,0,0,519.45,815.4,Stayed,,
0422-UXFAP,Female,34,Yes,0,San Diego,92117,32.825086,-117.199424,1,51,Offer B,Yes,47.72,Yes,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,98.85,4947.55,0,130,2433.72,7511.27,Stayed,,
0423-UDIJQ,Male,74,No,0,Snelling,95369,37.521708,-120.426843,0,9,None,Yes,7.11,No,Yes,DSL,12,No,No,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,49.2,447.9,0,0,63.99,511.89,Stayed,,
0426-TIRNE,Female,54,No,0,Encino,91316,34.150354,-118.518292,0,1,Offer E,Yes,15.51,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.9,20.9,0,0,15.51,36.41,Churned,Dissatisfaction,Limited range of services
0428-AXXLJ,Male,29,No,0,Bellflower,90706,33.887676,-118.127289,0,25,Offer C,Yes,3.58,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.5,516.3,0,0,89.5,605.8,Stayed,,
0428-IKYCP,Male,56,Yes,0,Sonora,95370,37.982716,-120.343732,9,22,None,Yes,48.68,No,Yes,Fiber Optic,18,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87,1850.65,0,0,1070.96,2921.61,Stayed,,
0430-IHCDJ,Male,40,No,0,Highland,92346,34.129677,-117.154277,0,15,None,Yes,11.75,Yes,Yes,DSL,28,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49,749.25,0,0,176.25,925.5,Stayed,,
0431-APWVY,Female,37,Yes,0,Novato,94949,38.067204,-122.524004,1,28,None,Yes,18.31,No,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.1,2598.95,0,0,512.68,3111.63,Churned,Dissatisfaction,Poor expertise of online support
0432-CAJZV,Male,47,No,0,Temecula,92592,33.507255,-117.029473,0,3,None,Yes,5.39,No,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,90.7,237.65,0,0,16.17,253.82,Joined,,
0434-CSFON,Female,34,Yes,0,Los Angeles,90071,34.052917,-118.255178,3,47,Offer B,Yes,38.15,Yes,Yes,Fiber Optic,14,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,4707.1,0,0,1793.05,6500.15,Stayed,,
0436-TWFFZ,Female,21,No,0,Long Beach,90805,33.864622,-118.179626,0,67,Offer A,Yes,8.71,Yes,Yes,DSL,41,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,85.25,5714.2,1.31,0,583.57,6296.46,Stayed,,
0439-IFYUN,Female,78,No,0,Escondido,92027,33.141265,-116.967221,0,18,Offer D,Yes,21.09,No,Yes,Fiber Optic,18,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.7,1294.6,0,20,379.62,1694.22,Stayed,,
0440-EKDCF,Male,47,Yes,0,Herlong,96113,40.198234,-120.18089,1,62,Offer B,Yes,33.7,No,Yes,Cable,15,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,60.15,3753.2,0,0,2089.4,5842.6,Stayed,,
0440-MOGPM,Female,51,No,0,Petaluma,94954,38.235021,-122.557332,0,41,None,Yes,6.16,Yes,Yes,DSL,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,80.55,3263.9,0,0,252.56,3516.46,Stayed,,
0440-QEXBZ,Female,64,No,0,Mojave,93501,35.097323,-118.171288,0,44,Offer B,Yes,18.42,Yes,Yes,DSL,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.15,2139.1,0,0,810.48,2949.58,Stayed,,
0440-UEDAI,Female,59,No,0,Callahan,96014,41.388397,-122.794636,0,53,None,Yes,33.88,No,Yes,Fiber Optic,6,No,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,94.45,5042.75,0,0,1795.64,6838.39,Stayed,,
0442-TDYUO,Male,44,Yes,0,Bodega,94922,38.343282,-122.9755,4,48,None,Yes,33.06,No,No,,,,,,,,,,,Two Year,Yes,Credit Card,20.05,1036,0,0,1586.88,2622.88,Stayed,,
0442-ZXKVS,Female,79,Yes,0,Denair,95316,37.524721,-120.757977,2,54,Offer B,Yes,43.71,Yes,Yes,Fiber Optic,12,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,115.6,6431.05,0,0,2360.34,8791.39,Stayed,,
0447-BEMNG,Female,28,Yes,0,Wrightwood,92397,34.358321,-117.618263,3,48,None,No,,,Yes,Cable,58,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,45.3,2145,0,140,0,2285,Churned,Price,Price too high
0447-RXSGD,Male,39,No,0,Monterey,93940,36.362741,-121.869685,0,24,Offer C,Yes,25.68,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.65,2404.85,0,0,616.32,3021.17,Stayed,,
0454-OKRCT,Male,32,No,0,Palo Alto,94301,37.444314,-122.149996,0,33,Offer C,Yes,34.85,No,Yes,Fiber Optic,27,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,80.6,2651.1,0,0,1150.05,3801.15,Stayed,,
0455-ENTCR,Male,58,Yes,0,Jamestown,95327,37.84771,-120.486589,1,66,None,Yes,42.85,Yes,Yes,DSL,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,85.25,5538.35,0,0,2828.1,8366.45,Stayed,,
0455-XFASS,Female,61,Yes,2,Campbell,95008,37.279689,-121.954567,3,3,None,Yes,1.67,No,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,200.2,33.8,0,5.01,171.41,Joined,,
0458-HEUZG,Female,58,No,0,Alderpoint,95511,40.166028,-123.584144,0,13,Offer D,No,,,Yes,Cable,13,No,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,35.4,450.4,0,100,0,550.4,Stayed,,
0459-SPZHJ,Male,19,Yes,0,Garden Grove,92843,33.764018,-117.931507,1,63,None,Yes,13.45,Yes,Yes,DSL,69,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,83.5,5435,0,0,847.35,6282.35,Stayed,,
0461-CVKMU,Female,45,Yes,0,Oak Run,96069,40.689243,-122.037023,0,23,None,Yes,38.81,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.8,1900.25,0,0,892.63,2792.88,Churned,Attitude,Attitude of support person
0463-TXOAK,Male,26,No,1,Madison,95653,38.674276,-121.961866,0,52,None,Yes,23.12,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.6,1334.5,0,0,1202.24,2536.74,Stayed,,
0463-WZZKO,Male,23,No,0,Van Nuys,91406,34.195685,-118.490752,0,3,Offer E,Yes,16.39,No,No,,,,,,,,,,,Month-to-Month,Yes,Credit Card,20.75,67.1,0,0,49.17,116.27,Joined,,
0463-ZSDNT,Male,23,No,0,Escondido,92026,33.21846,-117.116916,0,10,None,Yes,30.3,No,Yes,DSL,73,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,56.75,503.25,0,30,303,836.25,Stayed,,
0464-WJTKO,Female,39,Yes,2,Cedarville,96104,41.505916,-120.152505,10,72,None,Yes,14.17,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.1,1460.85,0,0,1020.24,2481.09,Stayed,,
0468-YRPXN,Male,62,No,0,Lomita,90717,33.794209,-118.317354,0,29,Offer C,Yes,48.2,No,Yes,Fiber Optic,19,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,98.8,2807.1,0,0,1397.8,4204.9,Stayed,,
0471-ARVMX,Female,70,Yes,0,Kelseyville,95451,38.93496,-122.792243,8,62,Offer B,Yes,22.74,Yes,Yes,Fiber Optic,18,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.85,6312.9,0,0,1409.88,7722.78,Stayed,,
0471-LVHGK,Male,34,Yes,0,Orangevale,95662,38.689174,-121.218435,1,41,None,Yes,15.91,Yes,Yes,DSL,29,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,73,3001.2,0,0,652.31,3653.51,Churned,Competitor,Competitor offered higher download speeds
0475-RIJEP,Male,47,No,0,Pinecrest,95364,38.224869,-119.755729,0,43,Offer B,Yes,49.13,Yes,Yes,Fiber Optic,25,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.85,3365.85,0,0,2112.59,5478.44,Churned,Price,Lack of affordable download/upload speed
0479-HMSWA,Female,63,No,1,San Clemente,92672,33.429488,-117.609432,0,26,Offer C,Yes,2.48,No,Yes,Fiber Optic,19,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,105.45,2715.3,0,0,64.48,2779.78,Stayed,,
0480-BIXDE,Female,58,Yes,0,Beale Afb,95903,39.125311,-121.392283,9,19,Offer D,Yes,10.68,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,1743.05,0,0,202.92,1945.97,Stayed,,
0480-KYJVA,Female,42,Yes,3,Sacramento,95835,38.685069,-121.543709,8,72,None,Yes,47.6,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,24.25,1784.5,49.76,0,3427.2,5161.94,Stayed,,
0481-SUMCB,Female,74,No,0,Greenville,95947,40.160386,-120.835428,0,45,Offer B,Yes,34.12,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,102.15,4735.35,0,0,1535.4,6270.75,Stayed,,
0484-FFVBJ,Male,43,No,0,Fort Bragg,95437,39.455555,-123.683979,0,32,None,Yes,15.52,No,Yes,DSL,12,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,64.85,2010.95,0,0,496.64,2507.59,Stayed,,
0484-JPBRU,Male,23,No,0,Petaluma,94954,38.235021,-122.557332,0,41,None,Yes,41.21,Yes,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,25.25,996.45,0,0,1689.61,2686.06,Stayed,,
0485-ZBSLN,Male,52,Yes,2,Mecca,92254,33.543835,-115.993906,4,65,None,Yes,36.5,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,24.75,1715.1,0,0,2372.5,4087.6,Stayed,,
0486-HECZI,Male,37,Yes,1,Torrance,90504,33.867257,-118.330794,0,55,None,Yes,49.06,Yes,Yes,Fiber Optic,27,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.75,5238.9,0,0,2698.3,7937.2,Churned,Price,Long distance charges
0486-LGCCH,Male,48,Yes,2,Victorville,92394,34.567058,-117.362329,2,11,Offer D,Yes,40.76,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.65,225.75,0,0,448.36,674.11,Stayed,,
0487-CRLZF,Female,58,No,0,Poway,92064,32.984395,-117.013454,0,49,Offer B,Yes,7.51,No,Yes,DSL,13,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,74.45,3721.9,0,0,367.99,4089.89,Stayed,,
0487-RPVUM,Male,49,Yes,0,Mount Hermon,95041,37.051166,-122.056194,1,61,None,Yes,15.15,Yes,Yes,Fiber Optic,28,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,99.4,5943.65,0,0,924.15,6867.8,Stayed,,
0487-VVUVK,Male,49,Yes,2,Santa Barbara,93109,34.406256,-119.726936,5,25,None,Yes,19.09,No,No,,,,,,,,,,,Month-to-Month,Yes,Credit Card,19.15,477.6,0,0,477.25,954.85,Stayed,,
0488-GSLFR,Female,41,No,0,Taylorsville,95983,40.053684,-120.743116,0,1,None,Yes,8.31,No,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.5,69.5,0,0,8.31,77.81,Churned,Dissatisfaction,Product dissatisfaction
0489-WMEMG,Female,61,No,3,Korbel,95550,40.7666,-123.80458,0,23,Offer D,Yes,25.85,No,Yes,Cable,53,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,49.45,1119.35,0,0,594.55,1713.9,Stayed,,
0491-KAPQG,Male,28,No,0,Pine Valley,91962,32.800671,-116.483363,0,21,Offer D,Yes,28.54,Yes,Yes,Fiber Optic,42,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.7,1558.7,0,0,599.34,2158.04,Stayed,,
